searchValue,dn,dudukeid,edupersonprimaryaffiliation,dupsacadcareerdescc1,dupsacadprogc1,dupsexpgradtermc1
jl913,"duLDAPKey=88eb08d4-26b3-428e-856b-880444d81d82,ou=people,dc=duke,dc=edu",0948009,student,Engineering Professional,E-MGT,2021 Sprng
tw240,"duLDAPKey=f3fd9d3d-548b-4619-858c-5b575b6bbdb6,ou=people,dc=duke,dc=edu",0944214,student,Engineering Professional,E-MGT,2021 Sprng
xl318,"duLDAPKey=293402b8-9a5f-4337-8a53-f47acc4952ab,ou=people,dc=duke,dc=edu",0931884,student,Engineering Professional,E-MGT,2021 Sprng
rz47,"duLDAPKey=e00c150e-1dd1-11b2-b833-e02c52381c12,ou=people,dc=duke,dc=edu",0642713,student,Graduate,GPENG,2019 Fall
ejm47,"duLDAPKey=ab5a4878-cad2-11e5-b144-2a331b144c1c,ou=people,dc=duke,dc=edu",0703758,student,Graduate,GPA&S,2023 Sprng
js682,"duLDAPKey=1cdbafc0-07da-11e6-85dc-b57c1b144c1c,ou=people,dc=duke,dc=edu",0717653,student,Graduate,GPA&S,2024 Sprng
sy207,"duLDAPKey=4a898d82-d262-414a-8bbf-fd1373966267,ou=people,dc=duke,dc=edu",0961246,student,Engineering Professional,E-MGT,2021 Sprng
stp13,"duLDAPKey=c279e27a-1dd1-11b2-aa57-e02c52381c12,ou=people,dc=duke,dc=edu",0626649,student,Undergraduate,E-UGU,2023 Sprng
kmh109,"duLDAPKey=3c1e49da-9951-11e5-ba3f-04061b144c1c,ou=people,dc=duke,dc=edu",0699789,student,Undergraduate,A&S,2020 Sprng
af192,"duLDAPKey=ac29338a-c164-11e5-abb0-b6101b144c1c,ou=people,dc=duke,dc=edu",0702958,student,Undergraduate,A&S,2020 Sprng
mg332,"duLDAPKey=da2a8432-cb9b-11e5-aca0-05591b144c1c,ou=people,dc=duke,dc=edu",0703876,student,Undergraduate,A&S,2020 Sprng
tn87,"duLDAPKey=8beb2e7f-401d-40e1-b4e8-9c4c420d3ec8,ou=people,dc=duke,dc=edu",0743169,student,Nicholas School of Environment,N-MEM,2020 Fall
rt129,"duLDAPKey=d776a332-d9c0-11e5-b25c-f7471b144c1c,ou=people,dc=duke,dc=edu",0705675,student,Undergraduate,A&S,2020 Sprng
sy105,"duLDAPKey=072d403e-1dd2-11b2-b937-e02c52381c12,ou=people,dc=duke,dc=edu",0645156,student,Undergraduate,A&S,2020 Fall
rrd10,"duLDAPKey=3ad7b17e-9951-11e5-ba3f-04061b144c1c,ou=people,dc=duke,dc=edu",0699766,student,Undergraduate,A&S,2020 Sprng
kfs13,"duLDAPKey=6995a8f6-873e-11e5-a68e-a36b1b144c1c,ou=people,dc=duke,dc=edu",0698513,student,Undergraduate,A&S,2020 Sprng
mtb34,"duLDAPKey=920db802-8499-11e5-8eff-13bd1a144c1c,ou=people,dc=duke,dc=edu",0698389,student,Undergraduate,A&S,2020 Sprng
ehk10,"duLDAPKey=6883dda3-445c-43b1-83fe-eadb578ddfec,ou=people,dc=duke,dc=edu",0849847,student,Undergraduate,A&SU,2022 Sprng
nl149,"duLDAPKey=f777b151-9a30-49c2-bb28-5246ca5b55b2,ou=people,dc=duke,dc=edu",0766162,student,Undergraduate,A&S,2020 Fall
ctc41,"duLDAPKey=060b6887-319d-430e-9719-0db69c6a1619,ou=people,dc=duke,dc=edu",0962667,student,Undergraduate,A&SU,2023 Sprng
sqw,"duLDAPKey=a2207b88-a449-4802-87fc-78b74ab0e089,ou=people,dc=duke,dc=edu",0751549,student,Undergraduate,A&S,2021 Sprng
nmt12,"duLDAPKey=567d417e-c489-11e5-94e6-3e251b144c1c,ou=people,dc=duke,dc=edu",0703122,student,Undergraduate,A&S,2020 Sprng
sdw52,"duLDAPKey=07ac6561-8d6e-482f-ba3a-ed7d68a642a9,ou=people,dc=duke,dc=edu",0821590,student,Fuqua School of Business,F-MBA,2020 Sprng
mc591,"duLDAPKey=7f46e3a5-e0f7-4a27-ab6d-f7beb8979df1,ou=people,dc=duke,dc=edu",0834962,student,Physical Therapy - Doctorate,PT-D2,2021 Sprng
jc607,"duLDAPKey=89e22062-e495-11e5-9e23-8b301b144c1c,ou=people,dc=duke,dc=edu",0710243,student,Undergraduate,A&S,2020 Sprng
lhl10,"duLDAPKey=6a17512b-4c3d-4cd1-b5e7-62f1428c5d77,ou=people,dc=duke,dc=edu",0736583,student,Undergraduate,E-UGD,2021 Sprng
mck33,"duLDAPKey=27def5c6-e4c1-11e5-9342-d6dc1a144c1c,ou=people,dc=duke,dc=edu",0710435,student,Undergraduate,A&S,2020 Sprng
cbh36,"duLDAPKey=d1207856-5d6e-45b5-abc8-478ff7591833,ou=people,dc=duke,dc=edu",0737775,student,Undergraduate,A&S,2021 Sprng
csw57,"duLDAPKey=0b274292-d1f9-43ff-a008-8232177de69c,ou=people,dc=duke,dc=edu",0859748,student,Undergraduate,A&SU,2022 Sprng
ym116,"duLDAPKey=1d1cf555-51c4-4cb2-8fa1-328bb5e91445,ou=people,dc=duke,dc=edu",0762061,student,Undergraduate,A&SU,2022 Sprng
mcl56,"duLDAPKey=44118303-f4d0-46fe-982d-64758a94e75d,ou=people,dc=duke,dc=edu",0748434,student,Undergraduate,A&S,2021 Sprng
mdc64,"duLDAPKey=cac312ea-50f1-434a-83c0-df57595f159b,ou=people,dc=duke,dc=edu",0770480,student,Undergraduate,A&S,2021 Sprng
