searchValue,dn,dudukeid,edupersonprimaryaffiliation,dupsacadcareerdescc1,dupsacadprogc1,dupsexpgradtermc1
tdg20,"duLDAPKey=aab51204-f9fb-46b2-a9e2-f57e938719ee,ou=people,dc=duke,dc=edu",0845914,student,Graduate,GPA&S,2025 Sprng
cah104,"duLDAPKey=c9b50469-be5a-48be-9b8f-176322997516,ou=people,dc=duke,dc=edu",0828304,student,Undergraduate,A&SU,2022 Sprng
mes102,"duLDAPKey=e92f35e8-db52-4a4e-8d32-4c5616879396,ou=people,dc=duke,dc=edu",0824360,student,Undergraduate,A&SU,2022 Sprng
acs99,"duLDAPKey=80ac6f90-3673-4526-9baf-4cc2d1576f79,ou=people,dc=duke,dc=edu",0739783,student,Undergraduate,A&S,2021 Sprng
ant27,"duLDAPKey=10c256ed-f2b7-41b2-8fc2-e227ea5e067f,ou=people,dc=duke,dc=edu",0887793,student,Graduate,GMGHL,2021 Sprng
jmu8,"duLDAPKey=f6c241fa-ea38-11e5-84a5-2ff31a144c1c,ou=people,dc=duke,dc=edu",0713215,student,Undergraduate,A&S,2020 Sprng
aac47,"duLDAPKey=57517a1c-e58a-11e5-96cb-ed031b144c1c,ou=people,dc=duke,dc=edu",0710890,,,,
rz47,"duLDAPKey=e00c150e-1dd1-11b2-b833-e02c52381c12,ou=people,dc=duke,dc=edu",0642713,student,Graduate,GPENG,2019 Fall
eh189,"duLDAPKey=0401c265-ac01-4c4e-8f9b-728fe17c4b99,ou=people,dc=duke,dc=edu",0732746,student,Undergraduate,A&S,2021 Sprng
mji3,"duLDAPKey=8d044a0a-1dd2-11b2-b8b2-e02c52381c12,ou=people,dc=duke,dc=edu",0643815,staff,,,
cc143,"duLDAPKey=28f15100-1dd2-11b2-813e-9442cd793b76,ou=people,dc=duke,dc=edu",0412747,student,Graduate,GPNUR,2022 Sprng
nmt12,"duLDAPKey=567d417e-c489-11e5-94e6-3e251b144c1c,ou=people,dc=duke,dc=edu",0703122,student,Undergraduate,A&S,2020 Sprng
hmf11,"duLDAPKey=a93f007a-ae90-4b15-8eb9-f6cce715a669,ou=people,dc=duke,dc=edu",0743751,student,Undergraduate,E-UGD,2021 Sprng
ce92,"duLDAPKey=f8a28540-10db-45b2-a95a-cc3e3b93653d,ou=people,dc=duke,dc=edu",0848533,student,Undergraduate,A&SU,2022 Sprng
jol9,"duLDAPKey=5f11ddaa-1dd2-11b2-8d48-e02c52381c12,ou=people,dc=duke,dc=edu",0661349,student,Undergraduate,A&SU,2022 Sprng
jav27,"duLDAPKey=ab7fbd6b-1c24-48cd-a45f-fd4f74afcc30,ou=people,dc=duke,dc=edu",0824670,student,Undergraduate,A&SU,2022 Sprng
wbb12,"duLDAPKey=ba2fb1fd-2d24-4ca6-8434-c38ec03ac17b,ou=people,dc=duke,dc=edu",0841092,student,Undergraduate,A&SU,2022 Sprng
