searchValue,dn,dudukeid,edupersonprimaryaffiliation,dupsacadcareerdescc1,dupsacadprogc1,dupsexpgradtermc1
ak509,"duLDAPKey=238fa56d-1133-4a15-9eff-0c434154afa7,ou=people,dc=duke,dc=edu",0850828,student,Undergraduate,A&S,2022 Sprng
jj252,"duLDAPKey=7ccb7ba3-1f78-48cc-8218-473ec076e23f,ou=people,dc=duke,dc=edu",0855439,student,Undergraduate,A&S,2022 Sprng
mre25,"duLDAPKey=c0b8b5ab-fcb9-4788-bb04-fee518e89ec7,ou=people,dc=duke,dc=edu",0866919,student,Undergraduate,A&SU,2022 Sprng
nmb48,"duLDAPKey=1ce4ba4e-90ab-41ca-bdbf-cb441ca9b55b,ou=people,dc=duke,dc=edu",0860411,student,Undergraduate,A&SU,2022 Sprng
amt62,"duLDAPKey=e8a0e2ca-8999-11e5-8ed1-0be81a144c1c,ou=people,dc=duke,dc=edu",0698663,student,Undergraduate,A&S,2020 Sprng
esw22,"duLDAPKey=ea71fe5a-1dd1-11b2-8184-e02c52381c12,ou=people,dc=duke,dc=edu",0675962,,,,
rsm41,"duLDAPKey=986b3eb0-1dd1-11b2-81e0-e02c52381c12,ou=people,dc=duke,dc=edu",0679116,staff,,,
dl202,"duLDAPKey=8611aa6c-1dd2-11b2-8071-e02c52381c12,ou=people,dc=duke,dc=edu",0673040,,,,
ej68,"duLDAPKey=6a19968c-1dd2-11b2-b649-e02c52381c12,ou=people,dc=duke,dc=edu",0640186,staff,,,
th174,"duLDAPKey=98e3d88c-1dd1-11b2-bd04-e02c52381c12,ou=people,dc=duke,dc=edu",0668413,,,,
nmt12,"duLDAPKey=567d417e-c489-11e5-94e6-3e251b144c1c,ou=people,dc=duke,dc=edu",0703122,student,Undergraduate,A&S,2020 Sprng
rdp33,"duLDAPKey=fccbd68c-d11b-11e5-9494-968f1b144c1c,ou=people,dc=duke,dc=edu",0704591,student,Graduate,GPENV,2023 Sprng
gao7,"duLDAPKey=931ce4f2-1dd2-11b2-b711-e02c52381c12,ou=people,dc=duke,dc=edu",0663198,student,Graduate,GPMSC,2022 Sprng
emc44,"duLDAPKey=22221068-1dd2-11b2-8862-e02c52381c12,ou=people,dc=duke,dc=edu",0660400,,,,
wam27,"duLDAPKey=63ac8eb9-ac18-4246-9a67-baf39a0d8fc9,ou=people,dc=duke,dc=edu",0910274,student,Graduate,GPENV,2025 Sprng
sdw52,"duLDAPKey=07ac6561-8d6e-482f-ba3a-ed7d68a642a9,ou=people,dc=duke,dc=edu",0821590,student,Fuqua School of Business,F-MBA,2020 Sprng
adr45,"duLDAPKey=62227819-ac2e-4940-ba44-137d3f0a7b19,ou=people,dc=duke,dc=edu",0736743,student,Undergraduate,A&S,2021 Sprng
dam80,"duLDAPKey=60e814f9-cd8a-4c28-9f16-6cf2914bcbfd,ou=people,dc=duke,dc=edu",0735508,student,Undergraduate,E-UGD,2021 Sprng
nlr18,"duLDAPKey=fa58f4f2-dc1c-484e-9c90-fdce9e9a2c94,ou=people,dc=duke,dc=edu",0867598,student,Undergraduate,A&SU,2022 Sprng
rz47,"duLDAPKey=e00c150e-1dd1-11b2-b833-e02c52381c12,ou=people,dc=duke,dc=edu",0642713,student,Graduate,GPENG,2019 Fall
bll32,"duLDAPKey=f3b163c8-4225-4120-9a05-af1705344f2b,ou=people,dc=duke,dc=edu",0854210,student,Undergraduate,E-UGU,2022 Sprng
bg110,"duLDAPKey=accbc818-bcad-11e5-ac15-07041b144c1c,ou=people,dc=duke,dc=edu",0702601,student,Undergraduate,A&S,2020 Sprng
bcp21,"duLDAPKey=abf23182-c164-11e5-abb0-b6101b144c1c,ou=people,dc=duke,dc=edu",0702953,student,Undergraduate,A&S,2020 Sprng
lb255,"duLDAPKey=6670c1e2-1dd2-11b2-81ae-e02c52381c12,ou=people,dc=duke,dc=edu",0677635,,,,
lln9,"duLDAPKey=ab4063b6-1dd1-11b2-8206-e02c52381c12,ou=people,dc=duke,dc=edu",0679596,,,,
ajf37,"duLDAPKey=5f9b83c4-dc1c-11e5-a2d8-20201b144c1c,ou=people,dc=duke,dc=edu",0706503,student,Graduate,GPA&S,2023 Sprng
cjt28,"duLDAPKey=5e33d1b8-1dd2-11b2-81ae-e02c52381c12,ou=people,dc=duke,dc=edu",0677577,,,,
gwe3,"duLDAPKey=ae416f4a-1dd1-11b2-8126-e02c52381c12,ou=people,dc=duke,dc=edu",0674597,,,,
twl16,"duLDAPKey=d81cab3e-cb9b-11e5-aca0-05591b144c1c,ou=people,dc=duke,dc=edu",0703857,student,Undergraduate,A&S,2020 Sprng
jor6,"duLDAPKey=001ae6fa-1dd2-11b2-8144-e02c52381c12,ou=people,dc=duke,dc=edu",0674836,,,,
czc3,"duLDAPKey=8e198dfe-1dd2-11b2-81df-e02c52381c12,ou=people,dc=duke,dc=edu",0678974,,,,
awm21,"duLDAPKey=ca4d30da-1dd1-11b2-8228-e02c52381c12,ou=people,dc=duke,dc=edu",0680395,,,,
ies5,"duLDAPKey=f110e88c-1dd1-11b2-8244-e02c52381c12,ou=people,dc=duke,dc=edu",0680667,,,,
etc18,"duLDAPKey=d3348d93-fdbc-4465-915b-eff9ea2608cd,ou=people,dc=duke,dc=edu",0737933,student,Undergraduate,E-UGD,2021 Sprng
ens17,"duLDAPKey=e2f2752a-9c75-11e5-aa14-c4c91a144c1c,ou=people,dc=duke,dc=edu",0700114,student,Undergraduate,A&S,2020 Sprng
cf189,"duLDAPKey=9998ccf5-49d5-4eac-9275-a427ec38eeee,ou=people,dc=duke,dc=edu",0833307,student,Graduate,GPINT,2025 Sprng
mis19,"duLDAPKey=e96b37ab-f6b1-41ba-8ec4-9e1fe2ecdbd8,ou=people,dc=duke,dc=edu",0837508,student,Graduate,GPMED,2025 Sprng
kc58,"duLDAPKey=00f4c11a-1dd2-11b2-beac-9442cd793b76,ou=people,dc=duke,dc=edu",0409655,,,,
vgk2,"duLDAPKey=e8e55e7e-1dd1-11b2-bad2-e02c52381c12,ou=people,dc=duke,dc=edu",0666315,,,,
kpt2,"duLDAPKey=e4f667fe-1dd1-11b2-b49c-e02c52381c12,ou=people,dc=duke,dc=edu",0637161,student,Graduate,GPENG,2022 Sprng
mrs100,"duLDAPKey=7b54beb8-9fc3-476b-8ce7-f366796aabca,ou=people,dc=duke,dc=edu",0833820,student,Nicholas School of Environment,N-MEM,2020 Sprng
smm115,"duLDAPKey=eecd9b5e-1dd1-11b2-bc9c-e02c52381c12,ou=people,dc=duke,dc=edu",0667955,,,,
yv11,"duLDAPKey=217a0cbd-5b52-4b4b-a4ed-e1550c272865,ou=people,dc=duke,dc=edu",0743599,staff,,,
mms103,"duLDAPKey=99ab52db-269a-4443-b9da-f9f364edc348,ou=people,dc=duke,dc=edu",0751591,,,,
sff11,"duLDAPKey=a1690eca-1dd1-11b2-81e0-e02c52381c12,ou=people,dc=duke,dc=edu",0679229,student,Undergraduate,A&S,2020 Sprng
mmk43,"duLDAPKey=836b88e6-1dd2-11b2-8071-e02c52381c12,ou=people,dc=duke,dc=edu",0672998,,,,
