searchValue,dn,dudukeid,edupersonprimaryaffiliation,dupsacadcareerdescc1,dupsacadprogc1,dupsexpgradtermc1
mhb45,"duLDAPKey=6f1ab564-51c4-4205-8425-19376c99cf4d,ou=people,dc=duke,dc=edu",0821026,student,Fuqua School of Business,F-MBA,2020 Sprng
smm115,"duLDAPKey=eecd9b5e-1dd1-11b2-bc9c-e02c52381c12,ou=people,dc=duke,dc=edu",0667955,,,,
nmt12,"duLDAPKey=567d417e-c489-11e5-94e6-3e251b144c1c,ou=people,dc=duke,dc=edu",0703122,student,Undergraduate,A&S,2020 Sprng
mg332,"duLDAPKey=da2a8432-cb9b-11e5-aca0-05591b144c1c,ou=people,dc=duke,dc=edu",0703876,student,Undergraduate,A&S,2020 Sprng
ar494,"duLDAPKey=07e09f0c-4190-4d59-8be9-ed25747bcbe8,ou=people,dc=duke,dc=edu",0824196,student,Nicholas School of Environment,N-MEM,2020 Sprng
ead41,"duLDAPKey=8b38af61-8f21-4a08-b9bf-067efd50eb7a,ou=people,dc=duke,dc=edu",0737318,student,Undergraduate,A&S,2021 Sprng
emg64,"duLDAPKey=97368054-77fd-459b-9482-85ae355f03d8,ou=people,dc=duke,dc=edu",0763191,student,Undergraduate,A&S,2021 Sprng
hlg15,"duLDAPKey=403cb758-5c29-4685-86e2-732708e41b3c,ou=people,dc=duke,dc=edu",0738598,student,Undergraduate,A&S,2021 Sprng
nka7,"duLDAPKey=dc475560-d173-4321-a259-637af3aa51f6,ou=people,dc=duke,dc=edu",0784935,,,,
mbf25,"duLDAPKey=25a888a2-db53-11e5-beea-20d81a144c1c,ou=people,dc=duke,dc=edu",0705954,staff,,,
zam8,"duLDAPKey=e4a00f9a-9c75-11e5-aa14-c4c91a144c1c,ou=people,dc=duke,dc=edu",0700137,student,Undergraduate,A&S,2020 Sprng
yd79,"duLDAPKey=a9e5b900-e265-11e5-be52-137b1b144c1c,ou=people,dc=duke,dc=edu",0709424,student,Undergraduate,A&S,2020 Sprng
ant27,"duLDAPKey=10c256ed-f2b7-41b2-8fc2-e227ea5e067f,ou=people,dc=duke,dc=edu",0887793,student,Graduate,GMGHL,2021 Sprng
