searchValue,dn,dudukeid,edupersonprimaryaffiliation,dupsacadcareerdescc1,dupsacadprogc1,dupsexpgradtermc1
arg47,"duLDAPKey=ca55fc63-e2e1-4f8d-953e-2101131e8bad,ou=people,dc=duke,dc=edu",0931338,student,Undergraduate,A&SU,2023 Fall
ec198,"duLDAPKey=baf38302-923e-11e5-a0dc-14df1a144c1c,ou=people,dc=duke,dc=edu",0699191,student,Undergraduate,A&S,2020 Sprng
ns224,"duLDAPKey=13be1eda-df41-11e5-ae94-5b141b144c1c,ou=people,dc=duke,dc=edu",0707493,student,Undergraduate,A&S,2020 Sprng
tmw36,"duLDAPKey=3997ca90-9dc2-11e5-90f1-0d151b144c1c,ou=people,dc=duke,dc=edu",0700240,student,Undergraduate,E-UGD,2020 Sprng
aba32,"duLDAPKey=dfcfd50d-e855-440c-b24c-8dfb18cc90d8,ou=people,dc=duke,dc=edu",0854682,student,Graduate,GMINT,2021 Sprng
jm622,"duLDAPKey=167ca813-eb68-465c-abed-856a78b53f75,ou=people,dc=duke,dc=edu",0850532,student,Graduate,GMINT,2021 Sprng
oac5,"duLDAPKey=59be8a38-1dd2-11b2-80b8-e02c52381c12,ou=people,dc=duke,dc=edu",0673447,student,Graduate,GPA&S,2022 Sprng
aas85,"duLDAPKey=7f429aea-dce5-11e5-bcea-a5601b144c1c,ou=people,dc=duke,dc=edu",0706790,student,Undergraduate,A&S,2020 Sprng
jy203,"duLDAPKey=4e2e84d6-e0d3-11e5-8ee5-ef331b144c1c,ou=people,dc=duke,dc=edu",0708260,student,Undergraduate,A&S,2020 Sprng
mjk61,"duLDAPKey=feb93e94-f39e-4b69-a717-ca34b7f53e52,ou=people,dc=duke,dc=edu",0831605,student,Undergraduate,A&SU,2022 Sprng
acc80,"duLDAPKey=2c368678-3db4-4a9c-ae75-b4cfc8204201,ou=people,dc=duke,dc=edu",0777571,student,Undergraduate,A&S,2021 Sprng
cls96,"duLDAPKey=11f79cd4-9888-11e5-83fa-79c11a144c1c,ou=people,dc=duke,dc=edu",0699658,student,Undergraduate,A&S,2020 Sprng
dt147,"duLDAPKey=8c3978e9-8ca1-465a-b959-433ace13ffce,ou=people,dc=duke,dc=edu",0836648,student,Graduate,GPINT,2025 Sprng
ahs45,"duLDAPKey=a64b6ca4-20e7-47a0-b985-b8c6d01ed95d,ou=people,dc=duke,dc=edu",0762505,student,Undergraduate,A&SU,2023 Sprng
dtc21,"duLDAPKey=13307595-201a-4422-ae32-52cc3fee8147,ou=people,dc=duke,dc=edu",0828251,student,Undergraduate,A&SU,2022 Sprng
rem59,"duLDAPKey=a1d2d110-e71c-11e5-87da-90471b144c1c,ou=people,dc=duke,dc=edu",0711737,student,Undergraduate,E-UGD,2020 Sprng
mcr44,"duLDAPKey=d3b4f735-ec17-4bb1-aeea-5ed3acf19130,ou=people,dc=duke,dc=edu",0747309,student,Undergraduate,A&S,2021 Sprng
ps222,"duLDAPKey=fffe5f06-2395-11e6-be5b-73681b144c1c,ou=people,dc=duke,dc=edu",0720180,student,Undergraduate,U-NON,2020 Sprng
kjc61,"duLDAPKey=468bc957-7f30-4b19-acb0-185049c66e1a,ou=people,dc=duke,dc=edu",0945335,student,Divinity School,DIVN,2022 Sprng
ehk10,"duLDAPKey=6883dda3-445c-43b1-83fe-eadb578ddfec,ou=people,dc=duke,dc=edu",0849847,student,Undergraduate,A&SU,2022 Sprng
ya41,"duLDAPKey=28241434-db53-11e5-beea-20d81a144c1c,ou=people,dc=duke,dc=edu",0705982,student,Undergraduate,A&S,2020 Sprng
tnc13,"duLDAPKey=02f78668-df41-11e5-ae94-5b141b144c1c,ou=people,dc=duke,dc=edu",0707205,student,Undergraduate,A&S,2020 Sprng
bma23,"duLDAPKey=47846b8e-ebcb-11e5-a68c-a6541b144c1c,ou=people,dc=duke,dc=edu",0713829,student,Undergraduate,E-UGD,2020 Sprng
jlt72,"duLDAPKey=e703525a-9307-11e5-91fb-ed1e1b144c1c,ou=people,dc=duke,dc=edu",0699306,student,Undergraduate,A&S,2020 Sprng
al308,"duLDAPKey=2cbb2da4-d69c-11e5-acf3-23491b144c1c,ou=people,dc=duke,dc=edu",0705283,student,Undergraduate,E-UGD,2020 Sprng
yns3,"duLDAPKey=2a2b155a-3889-11e6-a10e-06511b144c1c,ou=people,dc=duke,dc=edu",0722969,student,Undergraduate,A&SU,2022 Sprng
bys4,"duLDAPKey=70b754c0-eb94-492a-b85d-feefc67245e5,ou=people,dc=duke,dc=edu",0828273,student,Undergraduate,A&SU,2022 Sprng
jf264,"duLDAPKey=4ed07f9b-7755-4a8f-9dc7-6fe302e68625,ou=people,dc=duke,dc=edu",0849541,student,Undergraduate,E-UGD,2022 Sprng
irs29,"duLDAPKey=dfe0b801-a287-4964-a10d-bdd26e2f1df6,ou=people,dc=duke,dc=edu",0759585,student,Undergraduate,A&S,2021 Sprng
als178,"duLDAPKey=ca606ea6-bca2-4df6-a07e-f084201ad25e,ou=people,dc=duke,dc=edu",0934367,student,Undergraduate,A&SU,2023 Sprng
rz47,"duLDAPKey=e00c150e-1dd1-11b2-b833-e02c52381c12,ou=people,dc=duke,dc=edu",0642713,student,Graduate,GPENG,2019 Fall
abg40,"duLDAPKey=2666af39-768c-4660-bd1b-356933e95c2c,ou=people,dc=duke,dc=edu",0852661,student,Undergraduate,A&SU,2023 Sprng
