searchValue,dn,dudukeid,edupersonprimaryaffiliation,dupsacadcareerdescc1,dupsacadprogc1,dupsexpgradtermc1
ajf37,"duLDAPKey=5f9b83c4-dc1c-11e5-a2d8-20201b144c1c,ou=people,dc=duke,dc=edu",0706503,student,Graduate,GPA&S,2023 Sprng
nam54,"duLDAPKey=22f0a253-4d6d-4035-9411-a970239bfce6,ou=people,dc=duke,dc=edu",0813966,student,Physical Therapy - Doctorate,PT-D2,2021 Sprng
adb76,"duLDAPKey=7083ebec-f6b7-49a1-8a72-556fcd10eb61,ou=people,dc=duke,dc=edu",0813957,student,Physical Therapy - Doctorate,PT-D2,2021 Sprng
ev62,"duLDAPKey=c1e9ecd2-bd7b-4309-b18a-4453957266a5,ou=people,dc=duke,dc=edu",0897116,student,Physical Therapy - Doctorate,PT-D2,2021 Sprng
dd199,"duLDAPKey=d533db58-52c0-4ba1-8fae-c95003f54293,ou=people,dc=duke,dc=edu",0887550,student,Graduate,GMALS,2020 Sprng
ndb24,"duLDAPKey=b873c7bd-de9f-4920-9545-e375ec2d6039,ou=people,dc=duke,dc=edu",0765679,student,Undergraduate,A&SU,2022 Fall
vgk2,"duLDAPKey=e8e55e7e-1dd1-11b2-bad2-e02c52381c12,ou=people,dc=duke,dc=edu",0666315,,,,
ecr30,"duLDAPKey=bdb373fd-7785-4312-bfd0-63b93383cf8c,ou=people,dc=duke,dc=edu",0736611,student,Undergraduate,A&S,2021 Sprng
ec219,"duLDAPKey=7b71650e-8d1b-40e9-bed4-39b5538f16c4,ou=people,dc=duke,dc=edu",0739826,student,Undergraduate,E-UGD,2021 Sprng
ikk,"duLDAPKey=b93265f6-d684-4415-9633-85cbd70b91a5,ou=people,dc=duke,dc=edu",0774909,student,Undergraduate,A&S,2021 Sprng
es328,"duLDAPKey=9f72141b-f844-4a40-ae6c-a3af7e32ba09,ou=people,dc=duke,dc=edu",0796106,student,Undergraduate,A&S,2020 Sprng
jc515,"duLDAPKey=fac95ff2-1dd1-11b2-bd2b-e02c52381c12,ou=people,dc=duke,dc=edu",0668608,,,,
jor6,"duLDAPKey=001ae6fa-1dd2-11b2-8144-e02c52381c12,ou=people,dc=duke,dc=edu",0674836,,,,
sdw52,"duLDAPKey=07ac6561-8d6e-482f-ba3a-ed7d68a642a9,ou=people,dc=duke,dc=edu",0821590,student,Fuqua School of Business,F-MBA,2020 Sprng
jbc58,"duLDAPKey=91ed42c0-69b6-483e-bb26-1378373d24a0,ou=people,dc=duke,dc=edu",0796077,,,,
sms154,"duLDAPKey=1ca89eee-5840-4f24-886d-c28314922dd5,ou=people,dc=duke,dc=edu",0784011,,,,
nmt12,"duLDAPKey=567d417e-c489-11e5-94e6-3e251b144c1c,ou=people,dc=duke,dc=edu",0703122,student,Undergraduate,A&S,2020 Sprng
as732,"duLDAPKey=a6c040f2-d440-11e5-86c5-17721b144c1c,ou=people,dc=duke,dc=edu",0704798,student,Undergraduate,A&S,2020 Sprng
ss778,"duLDAPKey=3c27f0a6-8fe3-11e5-830f-88701b144c1c,ou=people,dc=duke,dc=edu",0699051,student,Undergraduate,A&S,2020 Sprng
jpt26,"duLDAPKey=3a32c9ee-1dd2-11b2-bf57-e02c52381c12,ou=people,dc=duke,dc=edu",0671479,student,School of Medicine,MED1,2023 Sprng
enf8,"duLDAPKey=ee3f3c28-bbfb-47b6-9fec-f87720e4604e,ou=people,dc=duke,dc=edu",0740509,student,Undergraduate,A&S,2021 Sprng
ehk10,"duLDAPKey=6883dda3-445c-43b1-83fe-eadb578ddfec,ou=people,dc=duke,dc=edu",0849847,student,Undergraduate,A&SU,2022 Sprng
nt77,"duLDAPKey=8a086782-e19c-11e5-89a2-aa571b144c1c,ou=people,dc=duke,dc=edu",0708956,student,Undergraduate,A&S,2020 Sprng
cm453,"duLDAPKey=0347eeee-581a-49a7-a96f-226fed13445e,ou=people,dc=duke,dc=edu",0834954,student,Physical Therapy - Doctorate,PT-D2,2021 Sprng
mc591,"duLDAPKey=7f46e3a5-e0f7-4a27-ab6d-f7beb8979df1,ou=people,dc=duke,dc=edu",0834962,student,Physical Therapy - Doctorate,PT-D2,2021 Sprng
